method,offset,target
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void j()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void j()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void k()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void k()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void d()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void d()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void e()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void e()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void f()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void f()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void n()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void n()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void e()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void e()>
"specialinvoke $r7.<org.intoorbit.spectrum.SpectrumActivity$a: void <init>(org.intoorbit.spectrum.SpectrumActivity,android.content.Context)>(r0, r0)",0,"<org.intoorbit.spectrum.SpectrumActivity$a: void <init>(org.intoorbit.spectrum.SpectrumActivity,android.content.Context)>"
specialinvoke r0.<b.b: void <init>(android.content.Context)>($r2),0,<b.b: void <init>(android.content.Context)>
$r2 = <d.f: d.f a>,0,<d.f: void <clinit>()>
"$i0 = staticinvoke <f.b: int c(android.media.AudioManager,int,int,int)>($r4, $i0, 16, 2)",0,"<f.b: int c(android.media.AudioManager,int,int,int)>"
"$i0 = staticinvoke <f.b: int c(android.media.AudioManager,int,int,int)>($r4, $i0, 16, 2)",0,<f.b: void <clinit>()>
$i3 = <android.os.Build$VERSION: int SDK_INT>,0,<android.os.Build$VERSION: void <clinit>()>
"$z0 = staticinvoke <f.b: boolean e(int,int,int,int)>($i0, $i3, 16, 2)",0,"<f.b: boolean e(int,int,int,int)>"
"$z0 = staticinvoke <f.b: boolean e(int,int,int,int)>($i0, $i3, 16, 2)",0,"<f.b: boolean e(int,int,int,int)>"
$i3 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($r2),0,<java.lang.Integer: int parseInt(java.lang.String)>
$r3 = <f.b: int[] a>,0,<f.b: void <clinit>()>
"$z0 = staticinvoke <f.b: boolean e(int,int,int,int)>($i0, $i3, 16, 2)",0,<f.b: void <clinit>()>
$i3 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($r2),0,<java.lang.Integer: void <clinit>()>
$r4 = staticinvoke <java.lang.Integer: java.lang.Integer valueOf(int)>($i2),0,<java.lang.Integer: void <clinit>()>
"staticinvoke <android.util.Log: int d(java.lang.String,java.lang.String)>(""AudioUtility"", $r6)",0,"<android.util.Log: int d(java.lang.String,java.lang.String)>"
$r5 = staticinvoke <java.lang.Boolean: java.lang.Boolean valueOf(boolean)>($z0),0,<java.lang.Boolean: java.lang.Boolean valueOf(boolean)>
$r4 = staticinvoke <java.lang.Integer: java.lang.Integer valueOf(int)>(2),0,<java.lang.Integer: java.lang.Integer valueOf(int)>
$r4 = staticinvoke <java.lang.Integer: java.lang.Integer valueOf(int)>(16),0,<java.lang.Integer: java.lang.Integer valueOf(int)>
$r4 = staticinvoke <java.lang.Integer: java.lang.Integer valueOf(int)>($i3),0,<java.lang.Integer: java.lang.Integer valueOf(int)>
$r4 = staticinvoke <java.lang.Integer: java.lang.Integer valueOf(int)>($i2),0,<java.lang.Integer: java.lang.Integer valueOf(int)>
"$i4 = staticinvoke <android.media.AudioRecord: int getMinBufferSize(int,int,int)>($i3, 16, 2)",0,"<android.media.AudioRecord: int getMinBufferSize(int,int,int)>"
$r5 = staticinvoke <java.lang.Boolean: java.lang.Boolean valueOf(boolean)>($z0),0,<java.lang.Boolean: void <clinit>()>
"specialinvoke $r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
"specialinvoke $r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
"specialinvoke $r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
"specialinvoke $r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(""Stub!"")",0,<java.lang.RuntimeException: void <init>(java.lang.String)>
"specialinvoke $r0.<android.media.AudioRecord: void <init>(int,int,int,int,int)>($i2, $i3, 16, 2, $i4)",0,"<android.media.AudioRecord: void <init>(int,int,int,int,int)>"
